Date,Time,Count,Velocity
2022/7/7 (Thursday) ,12:45,1,14
2022/7/7 (Thursday) ,17:13,2,24117
2022/7/7 (Thursday) ,17:15,5,3
2022/7/7 (Thursday) ,19:11,3,3
2022/7/7 (Thursday) ,19:15,3,1
2022/7/7 (Thursday) ,19:17,3,3
2022/7/7 (Thursday) ,19:28,10,9
2022/7/7 (Thursday) ,19:30,6,6
2022/7/7 (Thursday) ,19:33,13,3
2022/7/7 (Thursday) ,19:36,2,7
2022/7/7 (Thursday) ,19:39,1,1
2022/7/7 (Thursday) ,19:44,1,0
2022/7/7 (Thursday) ,19:48,1,0
2022/7/7 (Thursday) ,19:50,13,3
2022/7/7 (Thursday) ,19:52,25,21
2022/7/7 (Thursday) ,19:54,23,13
2022/7/7 (Thursday) ,19:56,27,13
2022/7/7 (Thursday) ,19:58,11,11
2022/7/7 (Thursday) ,20:0,14,16
2022/7/7 (Thursday) ,20:7,1,0
2022/7/7 (Thursday) ,20:9,5,91
2022/7/7 (Thursday) ,20:17,17,30
2022/7/7 (Thursday) ,20:19,6,15
2022/7/7 (Thursday) ,20:21,27,28
2022/7/7 (Thursday) ,20:23,24,12
2022/7/7 (Thursday) ,20:25,24,27
2022/7/7 (Thursday) ,20:27,13,18
2022/7/7 (Thursday) ,20:29,37,16
2022/7/7 (Thursday) ,20:33,16,10
2022/7/7 (Thursday) ,20:36,4,4
2022/7/7 (Thursday) ,20:38,22,21
2022/7/7 (Thursday) ,20:49,15,9
2022/7/7 (Thursday) ,20:52,1,0
2022/7/7 (Thursday) ,20:54,1,1
2022/7/7 (Thursday) ,20:56,2,0
2022/7/7 (Thursday) ,20:58,21,13
2022/7/7 (Thursday) ,21:0,37,14
2022/7/7 (Thursday) ,21:2,39,20
2022/7/7 (Thursday) ,22:0,11,7
2022/7/7 (Thursday) ,22:13,2,2
2022/7/7 (Thursday) ,22:26,3,1
2022/7/7 (Thursday) ,23:47,1,1
2022/7/7 (Thursday) ,23:52,5,32
2022/7/8 (Friday) ,0:2,4,7
2022/7/8 (Friday) ,0:4,9,10
2022/7/8 (Friday) ,0:6,5,8
2022/7/8 (Friday) ,0:9,2,4
2022/7/8 (Friday) ,0:11,2,0
2022/7/8 (Friday) ,0:33,9,29302
2022/7/8 (Friday) ,1:33,6,6
2022/7/8 (Friday) ,1:35,2,0
2022/7/8 (Friday) ,1:37,5,4
2022/7/8 (Friday) ,1:47,5,12
2022/7/8 (Friday) ,1:50,2,14
2022/7/8 (Friday) ,1:55,2,0
2022/7/8 (Friday) ,1:59,6,6
2022/7/8 (Friday) ,2:1,1,0
2022/7/8 (Friday) ,2:5,11,6
2022/7/8 (Friday) ,2:7,3,0
2022/7/8 (Friday) ,2:9,1,47
2022/7/8 (Friday) ,2:52,1,0
2022/7/8 (Friday) ,2:54,1,0
2022/7/8 (Friday) ,2:56,1,0
2022/7/8 (Friday) ,3:9,1,1362
2022/7/8 (Friday) ,3:15,4,2
2022/7/8 (Friday) ,3:18,5,8
2022/7/8 (Friday) ,3:23,6,14
2022/7/8 (Friday) ,3:25,2,677
2022/7/8 (Friday) ,3:31,4,11
2022/7/8 (Friday) ,3:33,2,4
2022/7/8 (Friday) ,3:45,3,23442
2022/7/8 (Friday) ,3:47,7,8
2022/7/8 (Friday) ,3:49,17,16
2022/7/8 (Friday) ,3:51,9,9
2022/7/8 (Friday) ,4:13,15,9
2022/7/8 (Friday) ,4:17,2,1
2022/7/8 (Friday) ,4:22,1,0
2022/7/8 (Friday) ,4:28,1,6
2022/7/8 (Friday) ,4:37,2,24671
2022/7/8 (Friday) ,4:39,9,19
2022/7/8 (Friday) ,4:43,3,2
2022/7/8 (Friday) ,4:45,4,13
2022/7/8 (Friday) ,4:47,4,12
2022/7/8 (Friday) ,4:49,10,8
2022/7/8 (Friday) ,4:51,7,8
2022/7/8 (Friday) ,4:55,3,23441
2022/7/8 (Friday) ,4:57,5,6
2022/7/8 (Friday) ,4:59,4,1
2022/7/8 (Friday) ,5:0,3,5
2022/7/8 (Friday) ,5:6,2,4
2022/7/8 (Friday) ,5:11,6,6
2022/7/8 (Friday) ,5:13,6,6
2022/7/8 (Friday) ,5:15,5,6
2022/7/8 (Friday) ,5:18,10,8
2022/7/8 (Friday) ,5:20,2,1
2022/7/8 (Friday) ,5:22,5,10
2022/7/8 (Friday) ,5:30,7,7
2022/7/8 (Friday) ,8:34,2,37
2022/7/8 (Friday) ,8:41,3,4
2022/7/8 (Friday) ,8:56,3,7
2022/7/8 (Friday) ,8:59,5,7
2022/7/8 (Friday) ,9:0,6,3
2022/7/8 (Friday) ,9:2,3,0
2022/7/8 (Friday) ,9:15,1,3
2022/7/8 (Friday) ,9:19,4,12
2022/7/8 (Friday) ,9:21,5,6
